# wavenumber_(/cm) absorbance absorbance_unc
3649.4108774 0.0028719 0.0783450
3648.5041334 -0.0156271 0.1526459
3647.5979728 0.0092295 0.1373846
3646.6922623 -0.0043490 0.0875293
3645.7870015 -0.0332912 0.1038873
3644.8821899 -0.0301927 0.0183074
3643.9778274 -0.0321826 0.0488860
3643.0739136 -0.0725290 0.0048881
3642.1705807 -0.0707636 0.0061395
3641.2675631 -0.0555436 0.0148266
3640.3649932 -0.0606832 0.0274533
3639.4628706 -0.0597612 0.0537628
3638.5613274 -0.0582027 0.0741941
3637.6600984 -0.0518443 0.0591511
3636.7594480 -0.0342837 0.0766911
3635.8591113 -0.0408803 0.0909304
3634.9593524 -0.0394386 0.0771067
3634.0599067 -0.0361144 0.0604716
3633.1610379 0.0153590 0.0543194
3632.2626137 0.0732746 0.0087961
3631.3646338 0.0239356 0.0516018
3630.4669659 0.0147472 0.0443904
3629.5698735 0.0171951 0.0408979
3628.6732243 0.0300387 0.0702099
3627.7770180 0.0195869 0.0825638
3626.8812542 0.0845337 0.0794638
3625.9859328 0.0790756 0.0788423
3625.0911846 -0.0326452 0.0526635
3624.1967466 -0.0324425 0.0598160
3623.3027499 -0.0274293 0.0657628
3622.4091941 -0.0514077 0.0497195
3621.5162101 -0.0541687 0.0529598
3620.6235351 -0.0546440 0.0421226
3619.7313001 -0.0454386 0.0345142
3618.8396357 -0.0345149 0.0434771
3617.9482796 -0.0128198 0.0387142
3617.0574933 -0.0332041 0.0383340
3616.1671456 0.0352797 0.0411000
3615.2771054 0.0420341 0.0451191
3614.3876338 0.0274668 0.0417938
3613.4985998 0.0306529 0.0500102
3612.6100031 0.0291353 0.0473779
3611.7218432 0.0436693 0.0573502
3610.8341200 0.0465639 0.0471031
3609.9468331 0.0378912 0.0446131
3609.0599821 0.0398926 0.0485036
3608.1735667 0.0424044 0.0446363
3607.2875867 0.0454523 0.0333591
3606.4020416 0.0073136 0.0197240
3605.5169313 0.0055178 0.0193787
3604.6323852 0.0043467 0.0228333
3603.7481431 0.0078355 0.0297552
3602.8643348 0.0072893 0.0330316
3601.9810896 0.0306664 0.0305684
3601.0981477 0.0287680 0.0294295
3600.2157681 0.0390964 0.0289036
3599.3336913 0.0451122 0.0300859
3598.4521762 0.0510153 0.0378854
3597.5710927 0.0578639 0.0277682
3596.6904406 0.0700122 0.0221913
3595.8100902 0.0807335 0.0247047
3594.9302999 0.0719955 0.0312916
3594.0509400 0.0705650 0.0231520
3593.1720102 0.0729094 0.0322458
3592.2935102 0.0738482 0.0402843
3591.4154397 0.0739947 0.0287751
3590.5377983 0.0701199 0.0256522
3589.6605857 0.0738260 0.0269950
3588.7839305 0.0778751 0.0224661
3587.9075746 0.0695542 0.0240550
3587.0316467 0.0732667 0.0167345
3586.1562749 0.0641965 0.0097838
3585.2812017 0.0669780 0.0203903
3584.4065554 0.0854703 0.0240177
3583.5324643 0.0934267 0.0216288
3582.6587993 0.0915911 0.0180385
3581.7854319 0.0911981 0.0197183
3580.9126185 0.0899344 0.0160970
3580.0402303 0.0861743 0.0178474
3579.1681390 0.0768126 0.0147901
3578.2966006 0.0786022 0.0078099
3577.4254864 0.0786809 0.0089191
3576.5547963 0.0791951 0.0021920
3575.6845299 0.0834735 0.0180878
3574.8146870 0.0920941 0.0233766
3573.9452671 0.0971148 0.0240404
3573.0762700 0.1005172 0.0173883
3572.2076954 0.1004265 0.0173967
3571.3395430 0.1344234 0.0161427
3570.4719400 0.1299257 0.0168335
3569.6046309 0.1358446 0.0136051
3568.7377432 0.1539170 0.0187128
3567.8714036 0.1630403 0.0225113
3567.0053574 0.1635163 0.0200206
3566.1398587 0.1704669 0.0149554
3565.2746527 0.1720459 0.0190368
3564.4099936 0.1943334 0.0209453
3563.5457537 0.1976859 0.0212263
3562.6818059 0.2010272 0.0263493
3561.8184038 0.1983171 0.0182305
3560.9554200 0.1999804 0.0227373
3560.0928543 0.1872720 0.0197691
3559.2307065 0.1893609 0.0226527
3558.3689760 0.1912703 0.0223559
3557.5076628 0.1904694 0.0207533
3556.6467664 0.1971894 0.0231933
3555.7862866 0.2120707 0.0211649
3554.9262230 0.2303340 0.0229188
3554.0665754 0.2348010 0.0214180
3553.2074697 0.2322336 0.0253178
3552.3486531 0.2538971 0.0260477
3551.4902515 0.2595971 0.0193135
3550.6323907 0.2393864 0.0209881
3549.7748183 0.2557865 0.0233699
3548.9177859 0.2633979 0.0223419
3548.0611673 0.2658930 0.0294478
3547.2048363 0.2839590 0.0267505
3546.3490443 0.2972853 0.0283480
3545.4936651 0.2974650 0.0266479
3544.6385729 0.2944744 0.0252868
3543.7840186 0.3220091 0.0304500
3542.9298762 0.3080044 0.0194315
3542.0761454 0.2990893 0.0175125
3541.2228260 0.3098578 0.0184179
3540.3699177 0.3235271 0.0226583
3539.5174201 0.3365071 0.0218759
3538.6653329 0.3512738 0.0224597
3537.8136559 0.3560303 0.0163816
3536.9625139 0.3691217 0.0018393
3536.1116563 0.3667578 0.0198753
3535.2612079 0.3797024 0.0150346
3534.4112934 0.3804330 0.0291518
3533.5616627 0.4044995 0.0311171
3532.7125651 0.4031648 0.0292639
3531.8637507 0.4069778 0.0220564
3531.0154688 0.3801527 0.0201070
3530.1675944 0.3799620 0.0204922
3529.3200024 0.3765782 0.0211963
3528.4729418 0.3778039 0.0179513
3527.6262878 0.4132446 0.0200816
3526.7800399 0.4174381 0.0199409
3525.9341980 0.4330723 0.0164750
3525.0886375 0.4589299 0.0115557
3524.2436066 0.4584748 0.0161171
3523.3991049 0.4712618 0.0213475
