# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
2.7401683 0.017442079 0.003004801
2.7408493 0.017442079 0.005901911
2.7415302 0.017442079 0.004825180
2.7422111 0.017964817 0.003476487
2.7428920 0.018835805 0.004521388
2.7435729 0.018835805 0.000771860
2.7442538 0.018835805 0.002285626
2.7449347 0.020842231 0.000206803
2.7456155 0.020842231 0.000291547
2.7462964 0.020209152 0.000683661
2.7469773 0.020209152 0.001311731
2.7476582 0.020209152 0.002265713
2.7483390 0.020209152 0.003464108
2.7490199 0.020209152 0.002597157
2.7497007 0.019710056 0.003363763
2.7503816 0.019710056 0.003894806
2.7510624 0.019710056 0.003461377
2.7517433 0.019444431 0.002840960
2.7524241 0.017273541 0.002144628
2.7531049 0.015260755 0.000342611
2.7537857 0.017190515 0.002021064
2.7544666 0.017273541 0.001705482
2.7551474 0.017190515 0.001592933
2.7558282 0.017190515 0.003073206
2.7565090 0.017190515 0.003071450
2.7571898 0.015226735 0.002916047
2.7578706 0.015226735 0.002743517
2.7585513 0.019443276 0.002497851
2.7592321 0.019443276 0.002739419
2.7599129 0.019747712 0.002851619
2.7605937 0.020879240 0.002657014
2.7612744 0.020879240 0.002549706
2.7619552 0.020466885 0.002278123
2.7626360 0.020466885 0.001672768
2.7633167 0.020031094 0.001884693
2.7639975 0.018995034 0.001748116
2.7646782 0.020031094 0.001765621
2.7653589 0.017262251 0.001637689
2.7660397 0.016964003 0.001701778
2.7667204 0.017262251 0.001689670
2.7674011 0.017262251 0.002053462
2.7680818 0.017262251 0.002051080
2.7687625 0.016964003 0.002067774
2.7694432 0.016998685 0.001928136
2.7701239 0.016998685 0.001829474
2.7708046 0.017156809 0.001815240
2.7714853 0.017156809 0.001634278
2.7721660 0.017171838 0.001484859
2.7728467 0.018604442 0.000842515
2.7735274 0.018604442 0.000972239
2.7742080 0.018604442 0.000959319
2.7748887 0.018604442 0.001246884
2.7755694 0.018604442 0.001378134
2.7762500 0.017875558 0.001313995
2.7769307 0.017875558 0.001349658
2.7776113 0.017471768 0.001198665
2.7782920 0.017318088 0.001300713
2.7789726 0.016998063 0.001494224
2.7796532 0.016998063 0.001153338
2.7803338 0.016312469 0.000873908
2.7810145 0.016120073 0.000934143
2.7816951 0.016312469 0.001213418
2.7823757 0.016398427 0.000797429
2.7830563 0.016398427 0.001115623
2.7837369 0.016398427 0.001495309
2.7844175 0.016399538 0.001091109
2.7850981 0.016399538 0.001077925
2.7857787 0.016399538 0.001046015
2.7864592 0.016399538 0.000876118
2.7871398 0.016649592 0.000976697
2.7878204 0.016649592 0.000627754
2.7885009 0.016860990 0.000394585
2.7891815 0.016860990 0.000825851
2.7898621 0.016168285 0.000846705
2.7905426 0.016036629 0.000810308
2.7912231 0.016036629 0.000674218
2.7919037 0.015943649 0.000620158
2.7925842 0.016036629 0.000600657
2.7932647 0.016308210 0.000660245
2.7939453 0.016593272 0.000587000
2.7946258 0.016615957 0.000338562
2.7953063 0.016615957 0.000326508
2.7959868 0.016615957 0.000094722
2.7966673 0.016596993 0.000670660
2.7973478 0.016187873 0.000874851
2.7980283 0.015963812 0.000839163
2.7987088 0.015963812 0.000672656
2.7993893 0.015931075 0.000642309
2.8000698 0.014725596 0.000569243
2.8007502 0.014882588 0.000606771
2.8014307 0.014725596 0.000513507
2.8021112 0.014150046 0.000609437
2.8027916 0.013921252 0.000701303
2.8034721 0.013921252 0.000683289
2.8041525 0.013626983 0.000488524
2.8048330 0.013626983 0.000608637
2.8055134 0.012943795 0.000608253
2.8061938 0.012908781 0.000638904
2.8068743 0.012908781 0.000854770
2.8075547 0.012943795 0.000578166
2.8082351 0.012943795 0.000695244
2.8089155 0.013349809 0.000591622
2.8095959 0.013349809 0.000700126
2.8102763 0.013349809 0.000722333
2.8109567 0.013221713 0.000722625
2.8116371 0.013221713 0.000740719
2.8123175 0.012691568 0.000598733
2.8129979 0.012118232 0.000572678
2.8136783 0.012118232 0.000608816
2.8143586 0.012118232 0.000650950
2.8150390 0.011626090 0.000661028
2.8157194 0.011379053 0.000460567
2.8163997 0.011945502 0.000538740
2.8170801 0.011494755 0.000553245
2.8177604 0.011379053 0.000625350
2.8184407 0.011379053 0.000688553
2.8191211 0.010916668 0.000667589
2.8198014 0.010587357 0.000666169
2.8204817 0.010587357 0.000633837
2.8211621 0.010587357 0.000644808
2.8218424 0.009995241 0.000650406
2.8225227 0.010367878 0.000427195
2.8232030 0.010650372 0.000401100
2.8238833 0.010367878 0.000418947
2.8245636 0.009995241 0.000528210
2.8252439 0.009727628 0.000501353
2.8259242 0.009449977 0.000501379
2.8266045 0.009348527 0.000378128
2.8272847 0.009106087 0.000039876
2.8279650 0.009106087 0.000421591
2.8286453 0.008969324 0.000325592
2.8293255 0.008969324 0.000569371
2.8300058 0.008414827 0.000615785
2.8306860 0.008414827 0.000539276
2.8313663 0.008414827 0.000447698
2.8320465 0.009009148 0.000400206
2.8327267 0.009016678 0.000402273
2.8334070 0.009016678 0.000462046
2.8340872 0.009016678 0.000388992
2.8347674 0.008361216 0.000377521
2.8354476 0.008329458 0.000414364
2.8361278 0.007994150 0.000335513
2.8368081 0.007560346 0.000199764
2.8374883 0.007560346 0.000302118
2.8381684 0.007356650 0.000339614
2.8388486 0.007473761 0.000364151
2.8395288 0.007458604 0.000538016
2.8402090 0.007458604 0.000419107
2.8408892 0.007280553 0.000505218
2.8415693 0.006963697 0.000555771
2.8422495 0.006637514 0.000565141
2.8429297 0.002868028 0.000549446
2.8436098 0.002868028 0.000456444
2.8442900 0.002868028 0.000344484
2.8449701 0.005426946 0.000100314
2.8456503 0.005932319 0.000376625
2.8463304 0.006304740 0.000129113
2.8470105 0.006304740 0.000242923
2.8476906 0.006265906 0.000367479
2.8483708 0.006265906 0.000368383
2.8490509 0.005463847 0.000372808
2.8497310 0.005148626 0.000282152
2.8504111 0.005145481 0.000273653
2.8510912 0.005145481 0.000517108
2.8517713 0.005145481 0.000420044
2.8524514 0.005020049 0.000283907
2.8531315 0.005020049 0.000161251
2.8538115 0.004897851 0.000032257
2.8544916 0.004550238 0.000102284
2.8551717 0.004550238 0.000408359
2.8558517 0.004486493 0.000536296
2.8565318 0.004046421 0.000540042
2.8572118 0.002624612 0.000532302
2.8578919 0.002387020 0.000529971
