# wavenumber_(/cm) absorbance absorbance_unc
3999.2321474 0.028717193 0.004574300
3997.6270086 0.055554593 0.005362200
3996.0231578 0.033390093 0.005514700
3994.4205933 0.051004193 0.005752200
3992.8193137 0.052398593 0.005801200
3991.2193175 0.029683493 0.005198200
3989.6206030 0.013485993 0.004735700
3988.0231688 0.023495193 0.004596600
3986.4270133 0.019209093 0.004871800
3984.8321350 0.032729393 0.004463900
3983.2385323 0.037630793 0.004975000
3981.6462037 0.034565993 0.004933800
3980.0551476 0.035895393 0.005210800
3978.4653627 0.039900693 0.004764000
3976.8768473 0.029989093 0.004448400
3975.2895998 0.022718893 0.004487600
3973.7036189 0.026351093 0.004851700
3972.1189030 0.017095793 0.004916300
3970.5354505 0.031490193 0.006569700
3968.9532600 0.043534193 0.005627300
3967.3723300 0.022675793 0.004973200
3965.7926588 0.067946193 0.005799300
3964.2142452 0.067703293 0.005527200
3962.6370874 0.069917893 0.005415200
3961.0611841 0.064296993 0.005603900
3959.4865338 0.065462293 0.005330500
3957.9131349 0.051878893 0.005872500
3956.3409860 0.046278093 0.005426600
3954.7700855 0.044766593 0.004958900
3953.2004320 0.059251793 0.005081000
3951.6320240 0.046919393 0.004274100
3950.0648601 0.043943393 0.004312100
3948.4989386 0.061784493 0.004553200
3946.9342583 0.059180393 0.005180100
3945.3708175 0.047143493 0.005110900
3943.8086149 0.050124793 0.004878300
3942.2476488 0.036353093 0.004435400
3940.6879180 0.044146193 0.004941400
3939.1294209 0.045614893 0.005027200
3937.5721560 0.050534993 0.005676700
3936.0161219 0.049264093 0.004838800
3934.4613172 0.052640293 0.004711000
3932.9077403 0.020341693 0.005144700
3931.3553898 0.039293893 0.004945500
3929.8042643 0.052062893 0.005099200
3928.2543623 0.042879293 0.005291800
3926.7056824 0.038891293 0.004620300
3925.1582231 0.038477493 0.005047500
3923.6119830 0.055111093 0.004587200
3922.0669607 0.048634293 0.004612600
3920.5231546 0.054969293 0.004275100
3918.9805634 0.049827893 0.004962500
3917.4391857 0.048467993 0.005122900
3915.8990199 0.063794593 0.004461200
3914.3600648 0.050633493 0.004408700
3912.8223187 0.047275693 0.004579100
3911.2857804 0.052449593 0.004273700
3909.7504484 0.054359793 0.004153600
3908.2163213 0.060483793 0.004252900
3906.6833977 0.070306093 0.004639000
3905.1516761 0.071796793 0.004262900
3903.6211551 0.075643293 0.005070200
3902.0918334 0.055337193 0.004525600
3900.5637095 0.049290893 0.004445500
3899.0367820 0.042677593 0.004338500
3897.5110494 0.032580493 0.004350100
3895.9865105 0.031337493 0.005291400
3894.4631638 0.038578793 0.004755100
3892.9410079 0.028457293 0.004285300
3891.4200414 0.024590393 0.004542000
3889.9002630 0.038860993 0.004344100
3888.3816711 0.030302693 0.005028300
3886.8642645 0.048226193 0.004594900
3885.3480417 0.049495593 0.005238900
3883.8330014 0.055163493 0.004584400
3882.3191422 0.057937693 0.004127700
3880.8064626 0.024284293 0.004151100
3879.2949614 0.008810493 0.004724400
3877.7846371 0.027114293 0.004346700
3876.2754884 0.022607593 0.004006400
3874.7675139 0.019801693 0.003873100
3873.2607123 0.035612793 0.004546500
3871.7550821 0.029715793 0.004229900
3870.2506219 0.021882793 0.003917700
3868.7473306 0.026313193 0.004038200
3867.2452065 0.026877293 0.004659000
3865.7442485 0.033557493 0.005156700
3864.2444552 0.018513493 0.004199500
3862.7458251 0.012181393 0.004726800
3861.2483570 0.014777793 0.004330000
3859.7520495 0.023461293 0.004066500
3858.2569013 0.029751893 0.004578100
3856.7629109 0.020838093 0.004321800
3855.2700771 0.037904393 0.004936100
3853.7783985 0.035717993 0.004356800
3852.2878738 0.033416293 0.004613300
3850.7985016 0.025778593 0.004206100
3849.3102806 0.016622393 0.004058000
3847.8232095 0.019060393 0.003583500
3846.3372869 0.007844893 0.004013500
3844.8525115 0.010314993 0.004049300
3843.3688819 0.029129493 0.003736200
3841.8863970 0.014206893 0.004096800
