# wavenumber_(/cm) absorbance absorbance_unc
3999.2321474 0.0304656 0.0045743
3997.6270086 0.0573030 0.0053622
3996.0231578 0.0351385 0.0055147
3994.4205933 0.0527526 0.0057522
3992.8193137 0.0541470 0.0058012
3991.2193175 0.0314319 0.0051982
3989.6206030 0.0152344 0.0047357
3988.0231688 0.0252436 0.0045966
3986.4270133 0.0209575 0.0048718
3984.8321350 0.0344778 0.0044639
3983.2385323 0.0393792 0.0049750
3981.6462037 0.0363144 0.0049338
3980.0551476 0.0376438 0.0052108
3978.4653627 0.0416491 0.0047640
3976.8768473 0.0317375 0.0044484
3975.2895998 0.0244673 0.0044876
3973.7036189 0.0280995 0.0048517
3972.1189030 0.0188442 0.0049163
3970.5354505 0.0332386 0.0065697
3968.9532600 0.0452826 0.0056273
3967.3723300 0.0244242 0.0049732
3965.7926588 0.0696946 0.0057993
3964.2142452 0.0694517 0.0055272
3962.6370874 0.0716663 0.0054152
3961.0611841 0.0660454 0.0056039
3959.4865338 0.0672107 0.0053305
3957.9131349 0.0536273 0.0058725
3956.3409860 0.0480265 0.0054266
3954.7700855 0.0465150 0.0049589
3953.2004320 0.0610002 0.0050810
3951.6320240 0.0486678 0.0042741
3950.0648601 0.0456918 0.0043121
3948.4989386 0.0635329 0.0045532
3946.9342583 0.0609288 0.0051801
3945.3708175 0.0488919 0.0051109
3943.8086149 0.0518732 0.0048783
3942.2476488 0.0381015 0.0044354
3940.6879180 0.0458946 0.0049414
3939.1294209 0.0473633 0.0050272
3937.5721560 0.0522834 0.0056767
3936.0161219 0.0510125 0.0048388
3934.4613172 0.0543887 0.0047110
3932.9077403 0.0220901 0.0051447
3931.3553898 0.0410423 0.0049455
3929.8042643 0.0538113 0.0050992
3928.2543623 0.0446277 0.0052918
3926.7056824 0.0406397 0.0046203
3925.1582231 0.0402259 0.0050475
3923.6119830 0.0568595 0.0045872
3922.0669607 0.0503827 0.0046126
3920.5231546 0.0567177 0.0042751
3918.9805634 0.0515763 0.0049625
3917.4391857 0.0502164 0.0051229
3915.8990199 0.0655430 0.0044612
3914.3600648 0.0523819 0.0044087
3912.8223187 0.0490241 0.0045791
3911.2857804 0.0541980 0.0042737
3909.7504484 0.0561082 0.0041536
3908.2163213 0.0622322 0.0042529
3906.6833977 0.0720545 0.0046390
3905.1516761 0.0735452 0.0042629
3903.6211551 0.0773917 0.0050702
3902.0918334 0.0570856 0.0045256
3900.5637095 0.0510393 0.0044455
3899.0367820 0.0444260 0.0043385
3897.5110494 0.0343289 0.0043501
3895.9865105 0.0330859 0.0052914
3894.4631638 0.0403272 0.0047551
3892.9410079 0.0302057 0.0042853
3891.4200414 0.0263388 0.0045420
3889.9002630 0.0406094 0.0043441
3888.3816711 0.0320511 0.0050283
3886.8642645 0.0499746 0.0045949
3885.3480417 0.0512440 0.0052389
3883.8330014 0.0569119 0.0045844
3882.3191422 0.0596861 0.0041277
3880.8064626 0.0260327 0.0041511
3879.2949614 0.0105589 0.0047244
3877.7846371 0.0288627 0.0043467
3876.2754884 0.0243560 0.0040064
3874.7675139 0.0215501 0.0038731
3873.2607123 0.0373612 0.0045465
3871.7550821 0.0314642 0.0042299
3870.2506219 0.0236312 0.0039177
3868.7473306 0.0280616 0.0040382
3867.2452065 0.0286257 0.0046590
3865.7442485 0.0353059 0.0051567
3864.2444552 0.0202619 0.0041995
3862.7458251 0.0139298 0.0047268
3861.2483570 0.0165262 0.0043300
3859.7520495 0.0252097 0.0040665
3858.2569013 0.0315003 0.0045781
3856.7629109 0.0225865 0.0043218
3855.2700771 0.0396528 0.0049361
3853.7783985 0.0374664 0.0043568
3852.2878738 0.0351647 0.0046133
3850.7985016 0.0275270 0.0042061
3849.3102806 0.0183708 0.0040580
3847.8232095 0.0208088 0.0035835
3846.3372869 0.0095933 0.0040135
3844.8525115 0.0120634 0.0040493
3843.3688819 0.0308779 0.0037362
3841.8863970 0.0159553 0.0040968
3840.4050552 0.0174305 0.0040300
3838.9248553 0.0185448 0.0041775
3837.4457961 0.0237655 0.0044930
3835.9678761 0.0179918 0.0042396
3834.4910940 0.0069315 0.0049385
3833.0154486 0.0052603 0.0045534
3831.5409385 -0.0000213 0.0047131
3830.0675624 0.0105582 0.0041392
3828.5953190 0.0196304 0.0037225
3827.1242070 0.0143385 0.0038967
3825.6542251 0.0141439 0.0039465
3824.1853720 0.0159343 0.0039692
3822.7176464 0.0207961 0.0043996
3821.2510470 0.0263756 0.0042465
3819.7855725 0.0370349 0.0041838
3818.3212216 0.0232029 0.0044773
3816.8579930 0.0234205 0.0043023
3815.3958855 0.0272332 0.0036878
3813.9348977 0.0248019 0.0039775
3812.4750283 0.0212606 0.0040838
3811.0162761 0.0162561 0.0037849
3809.5586398 0.0040226 0.0039490
3808.1021181 0.0087337 0.0043047
3806.6467097 0.0125314 0.0039279
3805.1924134 0.0135442 0.0036255
3803.7392278 0.0023235 0.0037848
3802.2871518 0.0042236 0.0037496
3800.8361840 0.0066167 0.0038222
3799.3863231 0.0169746 0.0037015
3797.9375680 0.0014329 0.0041253
3796.4899173 0.0072672 0.0049593
3795.0433698 -0.0030181 0.0038048
3793.5979241 0.0132050 0.0041347
3792.1535792 0.0212655 0.0036926
3790.7103336 0.0322769 0.0035036
3789.2681862 0.0280149 0.0037873
3787.8271357 0.0238499 0.0041810
3786.3871808 0.0089672 0.0043597
3784.9483203 0.0052547 0.0048570
3783.5105530 0.0076225 0.0040982
3782.0738775 0.0192694 0.0041150
3780.6382927 0.0043781 0.0037556
3779.2037973 -0.0052745 0.0034550
3777.7703901 -0.0010254 0.0039437
3776.3380699 -0.0011648 0.0035123
3774.9068353 -0.0003489 0.0035147
3773.4766852 0.0068251 0.0035543
3772.0476183 0.0085923 0.0041183
3770.6196335 0.0198996 0.0039540
3769.1927294 0.0233663 0.0035146
3767.7669048 0.0100927 0.0038753
3766.3421586 -0.0050450 0.0036276
3764.9184895 -0.0050633 0.0042738
3763.4958963 0.0013170 0.0037103
3762.0743777 -0.0093338 0.0037233
3760.6539326 -0.0030594 0.0038196
3759.2345597 -0.0104483 0.0035324
3757.8162578 -0.0091929 0.0039033
3756.3990257 -0.0018350 0.0044230
3754.9828623 0.0055559 0.0038984
3753.5677662 -0.0035264 0.0040360
3752.1537362 -0.0083146 0.0037840
3750.7407713 -0.0138137 0.0039903
3749.3288701 -0.0087679 0.0035181
3747.9180315 0.0003721 0.0031016
3746.5082543 -0.0115313 0.0034919
3745.0995373 -0.0282125 0.0034025
3743.6918792 -0.0262578 0.0038995
3742.2852789 -0.0182536 0.0037299
3740.8797352 -0.0035694 0.0035737
3739.4752469 -0.0019828 0.0032598
3738.0718128 0.0020648 0.0035922
3736.6694318 0.0006530 0.0031111
3735.2681026 -0.0002183 0.0034796
3733.8678241 -0.0073266 0.0031525
3732.4685950 -0.0114869 0.0035223
3731.0704143 -0.0072319 0.0038821
3729.6732806 -0.0093370 0.0040758
3728.2771929 -0.0126810 0.0037454
3726.8821500 -0.0092485 0.0036761
3725.4881507 -0.0085723 0.0035270
3724.0951938 -0.0172616 0.0037783
3722.7032782 -0.0148848 0.0035628
3721.3124027 -0.0098512 0.0032915
3719.9225661 -0.0155787 0.0037009
3718.5337673 -0.0152281 0.0033818
3717.1460050 -0.0072600 0.0031183
3715.7592783 -0.0015919 0.0033995
3714.3735858 0.0026660 0.0036852
3712.9889264 0.0242210 0.0037836
3711.6052990 0.0310160 0.0038858
3710.2227024 0.0299767 0.0033207
3708.8411355 0.0273247 0.0034761
3707.4605971 0.0288158 0.0035070
3706.0810861 0.0335068 0.0038697
3704.7026013 0.0481535 0.0037069
3703.3251416 0.0521773 0.0038102
3701.9487058 0.0581799 0.0035274
3700.5732928 0.0536941 0.0038161
3699.1989015 0.0408960 0.0037687
3697.8255307 0.0297045 0.0037360
3696.4531792 0.0218765 0.0039546
3695.0818461 0.0089188 0.0040248
