# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
2.4482720 0.118745096 0.001471672
2.4492760 0.118247438 0.001561165
2.4502800 0.118334812 0.001657878
2.4512840 0.128275202 0.001992295
2.4522880 0.128803614 0.002049065
2.4532920 0.125192041 0.001877308
2.4542960 0.125850983 0.001803228
2.4553000 0.123230872 0.001825017
2.4563040 0.123546985 0.001652184
2.4573080 0.125429287 0.001585304
2.4583120 0.127531912 0.001609345
2.4593160 0.126587590 0.001575903
2.4603200 0.135668668 0.001933245
2.4613240 0.130212301 0.001858668
2.4623280 0.136465721 0.001719438
2.4633320 0.132133019 0.001721617
2.4643360 0.137558967 0.001749244
2.4653400 0.137822209 0.001709209
2.4663440 0.131725696 0.001639988
2.4673480 0.133406781 0.001548001
2.4683520 0.136902705 0.001577751
2.4693560 0.137149552 0.001571068
2.4703600 0.135180797 0.001560825
2.4713640 0.131916713 0.001539950
2.4723680 0.136610334 0.001655717
2.4733720 0.136160283 0.001797042
2.4743760 0.142649911 0.001919572
2.4753800 0.139994877 0.001825030
2.4763840 0.129797578 0.001666332
2.4773880 0.127457772 0.001554991
2.4783920 0.133546376 0.001663764
2.4793960 0.131721133 0.001739987
2.4804000 0.125550085 0.001659694
2.4814040 0.139401604 0.001853575
2.4824080 0.139581996 0.001818959
2.4834120 0.138779948 0.001783350
2.4844160 0.136143595 0.001726403
2.4854200 0.136123622 0.001690718
2.4864240 0.146979878 0.001740036
2.4874280 0.141529544 0.001736141
2.4884320 0.142192563 0.001731626
2.4894360 0.150444907 0.001801218
2.4904400 0.151967292 0.001837934
2.4914440 0.150650949 0.001717770
2.4924480 0.150229991 0.001757681
2.4934520 0.156725116 0.001826527
2.4944560 0.153998279 0.001911729
2.4954600 0.150546267 0.002068586
2.4964640 0.153764210 0.001996660
2.4974680 0.153082371 0.001807039
2.4984720 0.157157534 0.001881582
2.4994760 0.153433883 0.001818299
2.5004800 0.151383551 0.001722373
2.5014840 0.142623856 0.001749016
2.5024880 0.150310642 0.001943634
2.5034920 0.145467780 0.001895196
2.5044960 0.146071959 0.002073832
2.5055000 0.154560225 0.001919043
2.5065040 0.161281743 0.001884565
2.5075080 0.158614507 0.001831692
2.5085120 0.160786751 0.001724681
2.5095160 0.157134283 0.001689098
2.5105200 0.156072926 0.001747318
2.5115240 0.158205802 0.001838396
2.5125280 0.158526808 0.001834314
2.5135320 0.157756354 0.001823117
2.5145360 0.162239753 0.001755268
2.5155400 0.165783888 0.001840859
2.5165440 0.165365588 0.001857091
2.5175480 0.169760653 0.001944998
2.5185520 0.164769302 0.002138040
2.5195560 0.161297665 0.002011535
2.5205600 0.170038890 0.002032258
2.5215640 0.153920831 0.002005700
2.5225680 0.154743505 0.001898827
2.5235720 0.154684705 0.001812020
2.5245760 0.157584539 0.001959802
2.5255800 0.157956450 0.001924267
2.5265840 0.163639279 0.002103660
2.5275880 0.166729114 0.002152217
2.5285920 0.167868820 0.002093032
2.5295960 0.162992924 0.002012817
