# wavenumber_(/cm) absorbance absorbance_unc
3649.4108774 0.002504436 0.078345000
3648.5041334 -0.015994564 0.152645900
3647.5979728 0.008862036 0.137384600
3646.6922623 -0.004716464 0.087529300
3645.7870015 -0.033658664 0.103887300
3644.8821899 -0.030560164 0.018307400
3643.9778274 -0.032550064 0.048886000
3643.0739136 -0.072896464 0.004888100
3642.1705807 -0.071131064 0.006139500
3641.2675631 -0.055911064 0.014826600
3640.3649932 -0.061050664 0.027453300
3639.4628706 -0.060128664 0.053762800
3638.5613274 -0.058570164 0.074194100
3637.6600984 -0.052211764 0.059151100
3636.7594480 -0.034651164 0.076691100
3635.8591113 -0.041247764 0.090930400
3634.9593524 -0.039806064 0.077106700
3634.0599067 -0.036481864 0.060471600
3633.1610379 0.014991536 0.054319400
3632.2626137 0.072907136 0.008796100
3631.3646338 0.023568136 0.051601800
3630.4669659 0.014379736 0.044390400
3629.5698735 0.016827636 0.040897900
3628.6732243 0.029671236 0.070209900
3627.7770180 0.019219436 0.082563800
3626.8812542 0.084166236 0.079463800
3625.9859328 0.078708136 0.078842300
3625.0911846 -0.033012664 0.052663500
3624.1967466 -0.032809964 0.059816000
3623.3027499 -0.027796764 0.065762800
3622.4091941 -0.051775164 0.049719500
3621.5162101 -0.054536164 0.052959800
3620.6235351 -0.055011464 0.042122600
3619.7313001 -0.045806064 0.034514200
3618.8396357 -0.034882364 0.043477100
3617.9482796 -0.013187264 0.038714200
3617.0574933 -0.033571564 0.038334000
3616.1671456 0.034912236 0.041100000
3615.2771054 0.041666636 0.045119100
3614.3876338 0.027099336 0.041793800
3613.4985998 0.030285436 0.050010200
3612.6100031 0.028767836 0.047377900
3611.7218432 0.043301836 0.057350200
3610.8341200 0.046196436 0.047103100
3609.9468331 0.037523736 0.044613100
3609.0599821 0.039525136 0.048503600
3608.1735667 0.042036936 0.044636300
3607.2875867 0.045084836 0.033359100
3606.4020416 0.006946136 0.019724000
3605.5169313 0.005150336 0.019378700
3604.6323852 0.003979236 0.022833300
3603.7481431 0.007468036 0.029755200
3602.8643348 0.006921836 0.033031600
3601.9810896 0.030298936 0.030568400
3601.0981477 0.028400536 0.029429500
3600.2157681 0.038728936 0.028903600
3599.3336913 0.044744736 0.030085900
3598.4521762 0.050647836 0.037885400
3597.5710927 0.057496436 0.027768200
3596.6904406 0.069644736 0.022191300
3595.8100902 0.080366036 0.024704700
3594.9302999 0.071628036 0.031291600
3594.0509400 0.070197536 0.023152000
3593.1720102 0.072541936 0.032245800
3592.2935102 0.073480736 0.040284300
3591.4154397 0.073627236 0.028775100
3590.5377983 0.069752436 0.025652200
3589.6605857 0.073458536 0.026995000
3588.7839305 0.077507636 0.022466100
3587.9075746 0.069186736 0.024055000
3587.0316467 0.072899236 0.016734500
3586.1562749 0.063829036 0.009783800
3585.2812017 0.066610536 0.020390300
3584.4065554 0.085102836 0.024017700
3583.5324643 0.093059236 0.021628800
3582.6587993 0.091223636 0.018038500
3581.7854319 0.090830636 0.019718300
3580.9126185 0.089566936 0.016097000
3580.0402303 0.085806836 0.017847400
3579.1681390 0.076445136 0.014790100
3578.2966006 0.078234736 0.007809900
3577.4254864 0.078313436 0.008919100
3576.5547963 0.078827636 0.002192000
3575.6845299 0.083106036 0.018087800
3574.8146870 0.091726636 0.023376600
3573.9452671 0.096747336 0.024040400
3573.0762700 0.100149736 0.017388300
3572.2076954 0.100059036 0.017396700
3571.3395430 0.134055936 0.016142700
3570.4719400 0.129558236 0.016833500
3569.6046309 0.135477136 0.013605100
3568.7377432 0.153549536 0.018712800
3567.8714036 0.162672836 0.022511300
3567.0053574 0.163148836 0.020020600
3566.1398587 0.170099436 0.014955400
3565.2746527 0.171678436 0.019036800
3564.4099936 0.193965936 0.020945300
3563.5457537 0.197318436 0.021226300
3562.6818059 0.200659736 0.026349300
3561.8184038 0.197949636 0.018230500
3560.9554200 0.199612936 0.022737300
3560.0928543 0.186904536 0.019769100
3559.2307065 0.188993436 0.022652700
3558.3689760 0.190902836 0.022355900
3557.5076628 0.190101936 0.020753300
3556.6467664 0.196821936 0.023193300
3555.7862866 0.211703236 0.021164900
3554.9262230 0.229966536 0.022918800
3554.0665754 0.234433536 0.021418000
3553.2074697 0.231866136 0.025317800
3552.3486531 0.253529636 0.026047700
3551.4902515 0.259229636 0.019313500
3550.6323907 0.239018936 0.020988100
3549.7748183 0.255419036 0.023369900
3548.9177859 0.263030436 0.022341900
3548.0611673 0.265525536 0.029447800
3547.2048363 0.283591536 0.026750500
3546.3490443 0.296917836 0.028348000
3545.4936651 0.297097536 0.026647900
3544.6385729 0.294106936 0.025286800
3543.7840186 0.321641636 0.030450000
3542.9298762 0.307636936 0.019431500
3542.0761454 0.298721836 0.017512500
3541.2228260 0.309490336 0.018417900
3540.3699177 0.323159636 0.022658300
3539.5174201 0.336139636 0.021875900
3538.6653329 0.350906336 0.022459700
3537.8136559 0.355662836 0.016381600
3536.9625139 0.368754236 0.001839300
3536.1116563 0.366390336 0.019875300
3535.2612079 0.379334936 0.015034600
3534.4112934 0.380065536 0.029151800
3533.5616627 0.404132036 0.031117100
3532.7125651 0.402797336 0.029263900
3531.8637507 0.406610336 0.022056400
3531.0154688 0.379785236 0.020107000
3530.1675944 0.379594536 0.020492200
3529.3200024 0.376210736 0.021196300
3528.4729418 0.377436436 0.017951300
3527.6262878 0.412877136 0.020081600
3526.7800399 0.417070636 0.019940900
3525.9341980 0.432704836 0.016475000
3525.0886375 0.458562436 0.011555700
3524.2436066 0.458107336 0.016117100
3523.3991049 0.470894336 0.021347500
3522.5548837 0.464016036 0.022636200
3521.7110670 0.463801336 0.030951300
3520.8676545 0.466354536 0.024994700
3520.0246458 0.481114236 0.026228800
3519.1821646 0.494951836 0.035631900
3518.3399628 0.519357636 0.036890300
3517.4981640 0.887912436 0.082770100
3516.6568915 0.890795436 0.070676200
3515.8158978 0.887164536 0.052320400
3514.9754298 0.609203936 0.008186600
3514.1352400 0.567193536 0.026793500
3513.2955752 0.544877936 0.008673600
3512.4563116 0.545549336 0.018258300
3511.6174489 0.548580636 0.025227400
3510.7788635 0.546490736 0.025067700
3509.9408017 0.607377936 0.030577100
3509.1031399 0.634994036 0.023826700
3508.2658779 0.635444036 0.022859400
3507.4290152 0.638552436 0.035872900
3506.5925518 0.633781236 0.033503900
3505.7564872 0.648060236 0.025055300
3504.9208212 0.649518736 0.014020100
3504.0856763 0.660625936 0.002875000
3503.2508066 0.693701736 0.009239400
3502.4163345 0.692035936 0.036038100
3501.5823826 0.704131336 0.049265100
3500.7487051 0.752933836 0.057625400
3499.9155470 0.924709136 0.090469000
3499.0826630 0.971979136 0.106740600
3498.2502976 0.981567936 0.110046800
3497.4182059 0.966485936 0.112453600
3496.5866321 0.769900236 0.054806300
3495.7554537 0.738038736 0.056315400
3494.9245482 0.740694536 0.055672500
3494.0941598 0.740289336 0.070455800
3493.2641658 0.748010236 0.054814900
3492.4345660 0.793482136 0.034942900
3491.6053602 0.799825236 0.044876500
3490.7765480 0.810572436 0.061365200
3489.9481292 0.769148236 0.042492300
3489.1201036 0.763002736 0.027177200
3488.2924707 0.759005536 0.029287100
3487.4653520 0.811543736 0.034535600
3486.6385039 0.884807936 0.055450200
3485.8120478 0.903277536 0.048481900
3484.9861048 0.899393536 0.043966900
3484.1604318 0.965852436 0.066129500
3483.3352712 0.895783636 0.065448100
3482.5103801 0.884563636 0.079980300
3481.6860009 0.902582236 0.086485200
3480.8618906 0.993418936 0.105875600
3480.0382916 1.004169436 0.124965300
3479.2150821 1.087656236 0.124138400
3478.3921411 1.068824936 0.098112000
3477.5697101 1.044883136 0.085181600
3476.7476680 1.058015036 0.071088500
3475.9260145 1.061885036 0.115752400
3475.1047492 0.997860936 0.088804400
3474.2838719 1.062088436 0.097141500
3473.4633823 1.115224236 0.037631400
3472.6432802 1.143620636 0.109096100
3471.8236858 1.148767536 0.097418700
3471.0043577 1.157739236 0.116597500
3470.1854162 1.137687236 0.139435300
3469.3668610 1.110822936 0.086121300
3468.5488122 1.092504836 0.073425500
3467.7310289 0.990893736 0.029713300
3466.9137513 0.983458036 0.071443400
3466.0967387 0.988260036 0.098476900
3465.2802311 1.214979036 0.166562800
3464.4641082 1.258483536 0.152066700
3463.6482496 1.248012636 0.138441800
3462.8328951 1.262500036 0.098560000
3462.0179244 1.278640636 0.114439800
3461.2033372 1.277624836 0.115822000
3460.3891332 1.286118336 0.150039700
3459.5751925 1.341559636 0.158855100
3458.7617543 1.356878836 0.148704000
3457.9488181 1.331855836 0.141212700
3457.1361444 1.291189136 0.138676900
3456.3238526 1.331592436 0.149622600
3455.5119424 1.344370736 0.152099700
3454.7004136 1.367183136 0.165546600
3453.8893851 1.348657136 0.166003900
3453.0786181 1.346524836 0.167709600
3452.2682317 1.283711736 0.110076700
3451.4583447 1.172864536 0.115705900
3450.6487185 1.131180036 0.123170100
3449.8395911 1.131676536 0.102034900
3449.0307241 1.125617236 0.096772500
3448.2223552 1.221224436 0.128430500
3447.4143651 1.294092036 0.155119000
3446.6066348 1.324474136 0.149868000
3445.7994017 1.293532136 0.147805400
3444.9925466 1.397447336 0.138830200
3444.1860693 1.422368936 0.135530200
3443.3799694 1.492224436 0.200867300
3442.5742469 1.468007136 0.219136600
3441.7689013 1.419424136 0.178777500
3440.9639324 1.424670036 0.171716100
3440.1593399 1.430972036 0.181247100
3439.3552420 1.434499836 0.223022500
3438.5514016 1.455380236 0.236025600
3437.7479368 1.485816336 0.211103600
3436.9449656 1.453052736 0.230868100
3436.1422513 1.479386936 0.179642000
3435.3399119 1.407058036 0.161839500
3434.5380651 1.422089336 0.095693700
3433.7364746 1.493427936 0.177239400
3432.9353760 1.521801036 0.107662500
3432.1346512 1.554797236 0.156794600
3431.3341820 1.599532836 0.220801900
3430.5342038 1.611546936 0.218578600
3429.7345986 1.579446836 0.207313000
3428.9353660 1.573018736 0.137253200
3428.1365058 1.717438936 0.270167800
3427.3380178 1.815611236 0.548415700
3426.5399016 1.898129636 0.360887700
3425.7421571 1.898345436 0.360887700
3424.9447839 1.876743836 0.360887700
3424.1477818 1.855271436 0.360887700
3423.3511506 1.554311336 0.073415000
3422.5550071 1.519183436 0.083336800
3421.7591168 1.527197136 0.119485500
3420.9635965 1.518214236 0.154921800
3420.1685630 1.891543836 0.360887700
3419.3737820 1.905792536 0.360887700
3418.5794872 2.109547436 0.360887700
3417.7854446 1.891175436 0.360887700
3416.9918874 1.712705236 0.224848100
3416.1986987 1.579982736 0.163658800
3415.4057615 1.590822136 0.204463400
3414.6133089 1.588885736 0.176562500
3413.8212239 1.754811636 0.257407800
3413.0295064 1.809418336 0.287759500
3412.2381559 1.779967836 0.259733700
3411.4471724 1.749901236 0.277063100
3410.6565555 1.691896636 0.203843200
3409.8663049 1.740421236 0.307685400
3409.0764205 1.645281936 0.231263700
3408.2869020 1.640238436 0.238049300
3407.4978651 1.705963336 0.407583600
3406.7090775 1.643551736 0.389532800
3405.9206549 1.680172736 0.323701200
3405.1327132 1.655291236 0.234705500
3404.3450200 1.871732236 0.360887700
3403.5576912 1.845355236 0.720648200
3402.7708423 1.878947636 0.360887700
3401.9843571 1.874189036 0.360887700
3401.1981197 1.864005136 0.360887700
3400.4123612 1.641962436 0.278513300
3399.6269657 1.641583036 0.323899400
3398.8418175 1.667020636 0.286573900
3398.0571472 1.797559336 0.445381000
3397.2728392 1.777529936 0.472673000
3396.4888932 1.991109836 0.360887700
3395.7053089 2.013099436 0.360887700
3394.9220860 2.007229536 0.360887700
3394.1392244 2.012115536 0.360887700
3393.3567237 1.993357336 0.360887700
3392.5746989 2.017400436 0.360887700
3391.7929194 2.106174036 0.360887700
3391.0115001 2.053175036 0.360887700
3390.2304407 1.949206536 0.621143800
3389.4498560 1.961075736 0.360887700
3388.6695158 1.979880236 0.645352100
3387.8896497 1.842006436 0.411495700
3387.1100276 1.816793636 0.383239500
3386.3308790 1.901800236 0.619352700
3385.5520888 1.846825636 0.529208100
3384.7735421 1.825534836 0.580112400
3383.9954679 1.773290936 0.353901100
3383.2177513 1.778156136 0.165874900
3382.4403922 1.796741136 0.233696000
3381.6633902 1.957094736 0.380117300
3380.8867451 1.990688736 0.371755000
3380.1104566 1.985514736 0.048248300
3379.3345245 2.159358736 0.360887700
3378.5589487 2.145985036 0.360887700
3377.7837287 2.165336636 0.360887700
3377.0088644 2.172863236 0.362269500
3376.2343555 2.153195736 0.360887700
3375.4603157 2.019356336 0.360887700
3374.6865169 2.045516736 0.360887700
3373.9130728 1.849688936 0.266224600
3373.1400969 1.848908836 0.226865000
3372.3673614 1.877000136 0.249635100
3371.5950935 2.069675036 0.360887700
3370.8231793 1.863982136 0.233646300
3370.0515048 1.834670036 0.765939200
3369.2802971 2.000885136 0.360887700
3368.5094423 2.028981636 0.360887700
3367.7389402 2.031015136 0.360887700
3366.9686770 2.291321736 0.360887700
