# wavelength_(/cm) continuum_(mJy)
2.7388065 0.017388016
2.7394874 0.017418948
2.7401683 0.017449868
2.7408493 0.017480772
2.7415302 0.017511665
2.7422111 0.017542542
2.7428920 0.017573407
2.7435729 0.017604258
2.7442538 0.017635097
2.7449347 0.017665920
2.7456155 0.017696731
2.7462964 0.017727529
2.7469773 0.017758314
2.7476582 0.017789084
2.7483390 0.017819841
2.7490199 0.017850586
2.7497007 0.017881315
2.7503816 0.017912033
2.7510624 0.017942736
2.7517433 0.017973427
2.7524241 0.018004103
2.7531049 0.018034766
2.7537857 0.018065416
2.7544666 0.018096052
2.7551474 0.018126675
2.7558282 0.018157285
2.7565090 0.018187881
2.7571898 0.018218464
2.7578706 0.018249034
2.7585513 0.018279590
2.7592321 0.018310132
2.7599129 0.018340661
2.7605937 0.018371177
2.7612744 0.018401681
2.7619552 0.018432170
2.7626360 0.018462645
2.7633167 0.018493108
2.7639975 0.018523556
2.7646782 0.018553993
2.7653589 0.018584415
2.7660397 0.018614824
2.7667204 0.018645220
2.7674011 0.018675602
2.7680818 0.018705971
2.7687625 0.018736326
2.7694432 0.018766670
2.7701239 0.018796999
2.7708046 0.018827314
2.7714853 0.018857616
2.7721660 0.018887905
2.7728467 0.018918181
2.7735274 0.018948443
2.7742080 0.018978692
2.7748887 0.019008927
2.7755694 0.019039151
2.7762500 0.019069360
2.7769307 0.019099555
2.7776113 0.019129738
2.7782920 0.019159907
2.7789726 0.019190062
2.7796532 0.019220206
2.7803338 0.019250335
2.7810145 0.019280451
2.7816951 0.019310553
2.7823757 0.019340644
2.7830563 0.019370720
2.7837369 0.019400782
2.7844175 0.019430833
2.7850981 0.019460869
2.7857787 0.019490891
2.7864592 0.019520902
2.7871398 0.019550898
2.7878204 0.019580882
2.7885009 0.019610852
2.7891815 0.019640809
2.7898621 0.019670752
2.7905426 0.019700683
2.7912231 0.019730600
2.7919037 0.019760504
2.7925842 0.019790394
2.7932647 0.019820272
2.7939453 0.019850136
2.7946258 0.019879988
