# wavelength_(/cm) continuum_(mJy)
2.5004799 0.161612710
2.5014839 0.162545710
2.5024879 0.163476570
2.5034921 0.164405530
2.5044961 0.165332140
2.5055001 0.166256630
2.5065041 0.167179000
2.5075080 0.168099260
2.5085120 0.169017420
2.5095160 0.169933470
2.5105200 0.170847420
2.5115240 0.171759270
2.5125279 0.172669040
2.5135319 0.173576710
2.5145359 0.174482300
2.5155399 0.175385820
2.5165441 0.176287470
2.5175481 0.177186830
2.5185521 0.178084130
2.5195560 0.178979360
2.5205600 0.179872540
2.5215640 0.180763650
2.5225680 0.181652720
2.5235720 0.182539740
2.5245759 0.183424710
2.5255799 0.184307650
2.5265839 0.185188550
2.5275879 0.186067420
2.5285921 0.186944470
2.5295961 0.187819280
2.5306001 0.188692080
2.5316041 0.189562860
2.5326080 0.190431630
2.5336120 0.191298390
2.5346160 0.192163150
2.5356200 0.193025900
2.5366240 0.193886660
2.5376279 0.194745430
2.5386319 0.195602210
2.5396359 0.196457000
2.5406401 0.197310020
2.5416441 0.198160860
2.5426481 0.199009720
2.5436521 0.199856620
2.5446560 0.200701550
2.5456600 0.201544520
2.5466640 0.202385530
2.5476680 0.203224580
2.5486720 0.204061690
2.5496759 0.204896860
2.5506799 0.205730080
2.5516839 0.206561360
2.5526879 0.207390710
2.5536921 0.208218320
2.5546961 0.209043810
2.5557001 0.209867380
2.5567040 0.210689030
2.5577080 0.211508760
2.5587120 0.212326590
2.5597160 0.213142500
2.5607200 0.213956510
2.5617239 0.214768620
2.5627279 0.215578840
2.5637319 0.216387160
2.5647359 0.217193600
2.5657401 0.217998340
2.5667441 0.218801010
2.5677481 0.219601800
2.5687521 0.220400720
2.5697560 0.221197760
2.5707600 0.221992950
2.5717640 0.222786270
2.5727680 0.223577730
2.5737720 0.224367330
2.5747759 0.225155090
2.5757799 0.225941000
2.5767839 0.226725060
2.5777881 0.227507470
2.5787921 0.228287860
2.5797961 0.229066420
2.5808001 0.229843140
2.5818040 0.230618040
2.5828080 0.231391130
2.5838120 0.232162390
2.5848160 0.232931840
2.5858200 0.233699480
2.5868239 0.234465310
2.5878279 0.235229340
2.5888319 0.235991570
2.5898359 0.236752000
2.5908401 0.237510820
2.5918441 0.238267680
2.5928481 0.239022740
2.5938520 0.239776030
2.5948560 0.240527540
2.5958600 0.241277280
2.5968640 0.242025250
2.5978680 0.242771440
2.5988719 0.243515880
2.5998759 0.244258560
2.6008799 0.244999480
2.6018839 0.245738650
2.6028881 0.246476250
2.6038921 0.247211920
2.6048961 0.247945850
2.6059000 0.248678050
2.6069040 0.249408510
2.6079080 0.250137240
2.6089120 0.250864250
2.6099160 0.251589530
2.6109200 0.252313090
2.6119239 0.253034940
2.6129279 0.253755070
2.6139319 0.254473490
2.6149361 0.255190380
2.6159401 0.255905390
2.6169441 0.256618700
2.6179481 0.257330320
2.6189520 0.258040250
2.6199560 0.258748490
2.6209600 0.259455050
2.6219640 0.260159920
2.6229680 0.260863120
2.6239719 0.261564640
2.6249759 0.262264490
2.6259799 0.262962680
2.6269839 0.263659200
2.6279881 0.264354220
2.6289921 0.265047430
2.6299961 0.265738980
2.6310000 0.266428880
2.6320040 0.267117130
2.6330080 0.267803740
2.6340120 0.268488710
2.6350160 0.269172050
2.6360199 0.269853750
2.6370239 0.270533830
2.6380279 0.271212270
2.6390319 0.271889100
2.6400361 0.272564470
2.6410401 0.273238060
2.6420441 0.273910030
2.6430480 0.274580400
2.6440520 0.275249170
2.6450560 0.275916330
2.6460600 0.276581900
2.6470640 0.277245860
2.6480680 0.277908240
2.6490719 0.278569030
2.6500759 0.279228230
2.6510799 0.279885860
2.6520841 0.280542060
2.6530881 0.281196530
2.6540921 0.281849420
2.6550961 0.282500750
2.6561000 0.283150520
2.6571040 0.283798720
2.6581080 0.284445360
2.6591120 0.285090450
2.6601160 0.285733990
2.6611199 0.286375980
2.6621239 0.287016420
2.6631279 0.287655330
2.6641321 0.288292840
2.6651361 0.288928670
2.6661401 0.289562970
2.6671441 0.290195740
2.6681480 0.290826980
2.6691520 0.291456710
2.6701560 0.292084910
2.6711600 0.292711600
2.6721640 0.293336780
2.6731679 0.293960440
2.6741719 0.294582610
2.6751759 0.295203270
2.6761799 0.295822430
2.6771841 0.296440240
2.6781881 0.297056410
2.6791921 0.297671090
2.6801960 0.298284290
2.6812000 0.298896010
2.6822040 0.299506240
2.6832080 0.300115000
2.6842120 0.300722290
2.6852160 0.301328100
2.6862199 0.301932450
2.6872239 0.302535330
2.6882279 0.303136760
2.6892321 0.303736870
2.6902361 0.304335380
2.6912401 0.304932440
2.6922441 0.305528060
2.6932480 0.306122230
2.6942520 0.306714960
2.6952560 0.307306250
2.6962600 0.307896110
2.6972640 0.308484530
2.6982679 0.309071530
2.6992719 0.309657100
2.7002759 0.310241240
2.7012801 0.310824110
2.7022841 0.311405420
2.7032881 0.311985320
2.7042921 0.312563810
2.7052960 0.313140890
2.7063000 0.313716570
2.7073040 0.314290850
2.7083080 0.314863730
2.7093120 0.315435220
2.7103159 0.316005310
2.7113199 0.316574020
2.7123239 0.317141340
2.7133279 0.317707280
2.7143321 0.318271980
2.7153361 0.318835160
2.7163401 0.319396980
2.7173440 0.319957420
2.7183480 0.320516490
2.7193520 0.321074210
2.7203560 0.321630560
2.7213600 0.322185550
2.7223639 0.322739200
2.7233679 0.323291480
2.7243719 0.323842420
2.7253759 0.324392020
2.7263801 0.324940400
2.7273841 0.325487320
2.7283881 0.326032890
2.7293921 0.326577140
2.7303960 0.327120050
2.7314000 0.327661640
2.7324040 0.328201900
2.7334080 0.328740840
2.7344120 0.329278460
2.7354159 0.329814770
2.7364199 0.330349770
2.7374239 0.330883450
2.7384281 0.331415960
2.7394321 0.331947030
2.7404361 0.332476810
2.7414401 0.333005280
2.7424440 0.333532470
2.7434480 0.334058360
2.7444520 0.334582960
2.7454560 0.335106280
2.7464600 0.335628310
2.7474639 0.336149070
2.7484679 0.336668550
2.7494719 0.337186750
2.7504759 0.337703680
2.7514801 0.338219470
2.7524841 0.338733870
2.7534881 0.339247000
2.7544920 0.339758880
2.7554960 0.340269500
2.7565000 0.340778870
2.7575040 0.341286980
2.7585080 0.341793850
2.7595119 0.342299480
2.7605159 0.342803860
2.7615199 0.343307000
2.7625239 0.343808900
2.7635281 0.344309700
2.7645321 0.344809140
2.7655361 0.345307350
2.7665401 0.345804340
2.7675440 0.346300100
2.7685480 0.346794650
2.7695520 0.347287980
2.7705560 0.347780100
2.7715600 0.348271000
2.7725639 0.348760700
2.7735679 0.349249190
2.7745719 0.349736480
2.7755761 0.350222690
2.7765801 0.350707580
2.7775841 0.351191280
2.7785881 0.351673790
2.7795920 0.352155110
2.7805960 0.352635240
2.7816000 0.353114190
2.7826040 0.353591970
2.7836080 0.354068560
2.7846119 0.354543980
2.7856159 0.355018230
2.7866199 0.355491310
2.7876239 0.355963220
2.7886281 0.356434080
2.7896321 0.356903670
2.7906361 0.357372100
2.7916400 0.357839380
2.7926440 0.358305500
2.7936480 0.358770470
2.7946520 0.359234300
2.7956560 0.359696980
2.7966599 0.360158520
2.7976639 0.360618920
2.7986679 0.361078190
2.7996719 0.361536320
2.8006761 0.361993430
2.8016801 0.362449300
2.8026841 0.362904050
2.8036880 0.363357670
2.8046920 0.363810180
2.8056960 0.364261570
2.8067000 0.364711840
2.8077040 0.365161000
2.8087080 0.365609050
2.8097119 0.366056000
2.8107159 0.366501840
2.8117199 0.366946580
2.8127241 0.367390320
2.8137281 0.367832870
2.8147321 0.368274320
2.8157361 0.368714680
2.8167400 0.369153950
2.8177440 0.369592140
2.8187480 0.370029240
2.8197520 0.370465270
2.8207560 0.370900220
2.8217599 0.371334090
2.8227639 0.371766890
2.8237679 0.372198620
2.8247719 0.372629280
2.8257761 0.373058980
2.8267801 0.373487510
2.8277841 0.373914990
2.8287880 0.374341410
2.8297920 0.374766770
2.8307960 0.375191090
2.8318000 0.375614350
2.8328040 0.376036570
2.8338079 0.376457740
2.8348119 0.376877870
2.8358159 0.377296970
2.8368199 0.377715020
2.8378241 0.378132150
2.8388281 0.378548140
2.8398321 0.378963100
2.8408360 0.379377040
2.8418400 0.379789950
2.8428440 0.380201840
2.8438480 0.380612720
2.8448520 0.381022580
2.8458560 0.381431420
2.8468599 0.381839250
2.8478639 0.382246080
2.8488679 0.382651900
2.8498721 0.383056810
2.8504111 0.383273720
2.8510912 0.383547010
2.8517713 0.383819840
2.8524514 0.384092210
2.8531315 0.384364120
2.8538115 0.384635570
2.8544916 0.384906570
2.8551717 0.385177110
2.8558517 0.385447200
2.8565318 0.385716830
2.8572118 0.385986010
2.8578919 0.386254740
2.8585719 0.386523010
2.8592520 0.386790830
2.8599320 0.387058200
2.8606120 0.387325130
2.8612921 0.387591600
2.8619721 0.387857620
2.8626521 0.388123200
2.8633321 0.388388330
2.8640121 0.388653010
2.8646921 0.388917250
2.8653721 0.389181040
2.8660521 0.389444390
2.8667321 0.389707300
2.8674120 0.389969770
2.8680920 0.390231790
2.8687720 0.390493370
2.8694519 0.390754520
2.8701319 0.391015220
2.8708118 0.391275480
2.8714918 0.391535310
2.8721717 0.391794700
2.8728517 0.392053660
2.8735316 0.392312180
2.8742115 0.392570260
2.8748915 0.392827910
2.8755714 0.393085130
2.8762513 0.393341910
2.8769312 0.393598270
2.8776111 0.393854190
2.8782910 0.394109680
2.8789709 0.394364750
2.8796508 0.394619380
2.8803306 0.394873590
2.8810105 0.395127370
2.8816904 0.395380720
2.8823703 0.395633650
2.8830501 0.395886150
2.8837300 0.396138230
2.8844098 0.396389880
2.8850897 0.396641120
2.8857695 0.396891930
2.8864493 0.397142320
2.8871292 0.397392290
2.8878090 0.397641830
2.8884888 0.397890970
2.8891686 0.398139680
2.8898484 0.398387970
2.8905283 0.398635850
2.8912081 0.398883310
2.8918878 0.399130360
2.8925676 0.399376990
2.8932474 0.399623210
2.8939272 0.399869010
2.8946070 0.400114400
2.8952867 0.400359380
2.8959665 0.400603950
2.8966463 0.400848110
2.8973260 0.401091860
2.8980058 0.401335200
2.8986855 0.401578140
2.8993653 0.401820660
2.9000450 0.402062780
2.9007247 0.402304490
2.9014045 0.402545800
2.9020842 0.402786700
